LoanID;Title;Genre;Category;Publisher;Author;NumberOfPages;OnLoan;Stock;Language;YearOfPublication
LOAN_000000000001391;Hece Ta?lar?;Roman;?iir;Can Yay?nlar?;?brahim Ya;;0;0;Türkçe;45586,54681
LOAN_000000000001392;Hediyyetül ?hvan;Roman;Din ve Mitoloji;Can Yay?nlar?;Ergüven Aslan;;0;0;Türkçe;45586,54681
LOAN_000000000001393;Hele ?ükür;Roman;Din ve Mitoloji;Can Yay?nlar?;Prof. Dr. Soner Duman;;0;0;Türkçe;44525,55911
LOAN_000000000001394;Henry Esmond I??;Roman;Dünya Edebiyat?;Can Yay?nlar?;Thackeray;;0;0;Türkçe;45188,4102
LOAN_000000000001395;Hep Ayn? Hikaye;Roman;Türk Edebiyat?;T.C. ?stanbul Valili?i;Ömer Faruk Dönmez;143;0;0;;44529,40943
LOAN_000000000001396;Hep O ?ark?;Roman;Türk Edebiyat?;Can Yay?nlar?;Yakup Kadri Karaosmano?lu;;0;0;Türkçe;44526,40903
LOAN_000000000001397;Hep Sondan Ba?lar;Roman;Türk Edebiyat?;Can Yay?nlar?;Taçl? Yaz?c?o?lu;;0;0;Türkçe;44526,51503
LOAN_000000000001398;Her ?ey Mümkün;Roman;Türk Edebiyat?;Can Yay?nlar?;Tuncay Günayd?n;;0;0;Türkçe;44525,58558
LOAN_000000000001399;Her ?eyin Bir Anlam? Var;Roman;Türk Edebiyat?;Kap? Yay?nlar?;Kemal Sayar;300;0;0;Türkçe;45026,34461
LOAN_000000000001400;Hergelece Sözler;Roman;Dünya Edebiyat?;Can Yay?nlar?;Gerald Drews;;0;0;Türkçe;44526,47256
LOAN_000000000001401;Herkes ?çin Co?rafya;Roman;Tarih ve Co?rafya;Can Yay?nlar?;James Doyle;;0;0;Türkçe;45307,53722
LOAN_000000000001402;Herkes ?çin Siyer;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Muhammed Emin Y?ld?r?m;352;0;0;Türkçe;45184,61237
LOAN_000000000001403;Herkes ?çin Siyer;Roman;Din ve Mitoloji;Profil Kitap;Mehmet Emin Y?ld?r?m;259;0;0;Türkçe;44525,51777
LOAN_000000000001404;Herkes Seni Söylüyor Sahi Mutsuz Musun;Roman;Türk Edebiyat?;Can Yay?nlar?;Perihan Ma?den;;0;0;Türkçe;44900,48403
LOAN_000000000001405;Herkesle?me;Roman;Türk Edebiyat?;Can Yay?nlar?;Tunç ?lkman;;0;0;Türkçe;45568,28214
LOAN_000000000001406;H?nton Bilimsel Öyküler;Roman;Dünya Edebiyat?;Can Yay?nlar?;Jorge Luis Borges;;0;0;Türkçe;44525,40782
LOAN_000000000001407;H???rt?;Roman;Türk Edebiyat?;T.C ?stanbul Valili?i;Rasim Özdenören;;0;0;Türkçe;45567,2873
LOAN_000000000001408;Hiç;Roman;Dünya Edebiyat?;Can Yay?nlar?;Markus Zusak;;0;0;Türkçe;44525,42212
LOAN_000000000001409;Hiç;Roman;Türk Edebiyat?;Tima? Yay?nlar;Sad?k Yals?zuçanlar;;0;0;Türkçe;44900,50958
LOAN_000000000001410;Hikayeler;Roman;Alman Edebiyat?;Can Yay?nlar?;Franz Kafka;;0;0;Türkçe;45586,54698
LOAN_000000000001411;Hikayeler 1;Roman;Alman Edebiyat?;Can Yay?nlar?;Stefan Zweig;;0;0;Türkçe;45586,54698
LOAN_000000000001412;Hikayeleri - Ömer Seyfettin;Roman;Türk Edebiyat?;Can Yay?nlar?;Ömer Seyfettin;;0;0;Türkçe;44900,48931
LOAN_000000000001413;Hilalin Gölgesinde;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Yrd Doç. Dr. Ali Güler;;0;0;Türkçe;44525,33639
LOAN_000000000001414;Hindistan'A Yolculuk Ve Nepal Gezisi;Roman;Türk Edebiyat?;Can Yay?nlar?;Gülten Day?o?lu;;0;0;Türkçe;44526,44406
LOAN_000000000001415;Histeri;Roman;Dünya Edebiyat?;Can Yay?nlar?;Laura L?ppman;;0;0;Türkçe;45586,54685
LOAN_000000000001416;Hitit Anadolu Rüzgar?;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Ali Narç?n;;0;0;Türkçe;44531,46993
LOAN_000000000001417;Hitler'?n Harika Komandolar?;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Charles Foley;;0;0;Türkçe;45026,32627
LOAN_000000000001418;Homeopatinin Temel ?lkeleri;Roman;Do?a Bilimleri ve Matematik;Günçe;Prof. George Vithoulkas;;0;0;;44900,55603
LOAN_000000000001419;Ho?çakal Berlin;Roman;Dünya Edebiyat?;Can Yay?nlar?;Christopher Isherwood;;0;0;Türkçe;45566,41361
LOAN_000000000001420;Hukuki Sorumluluklar;Roman;Do?a Bilimleri ve Matematik;Can Yay?nlar?;Ali R?za Tüner;;0;0;Türkçe;45566,41891
LOAN_000000000001421;Huzur;Roman;Türk Edebiyat?;Can Yay?nlar?;Ahmet Hamdi Tanp?nar;;0;0;Türkçe;44901,48307
LOAN_000000000001422;Huzur Soka??;Roman;Türk Edebiyat?;Can Yay?nlar?;?ule Yüksel ?enler;;0;0;Türkçe;44526,35627
LOAN_000000000001423;Huzursuz Bacak;Roman;Türk Edebiyat?;Can Yay?nlar?;Mustafa Kutlu;163;0;0;Türkçe;45429,37494
LOAN_000000000001424;Huzursuzluk;Roman;Türk Edebiyat?;Do?an Kitap;Ömer Zülfü Livaneli;154;0;0;Türkçe;44531,51436
LOAN_000000000001425;Hükmedenler;Roman;Dünya Edebiyat?;Can Yay?nlar?;Ron Goulart;;0;0;Türkçe;45026,43513
LOAN_000000000001426;Hükümdar;Roman;Felsefe ve Psikoloji;Can Yay?nlar?;N?ccolo Mach?avell?;;0;0;Türkçe;45586,54703
LOAN_000000000001427;Hür Masonlar?n Kay?p Anahtarlar?;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Manly P Hall;;0;0;Türkçe;44901,36676
LOAN_000000000001428;Hürriyet Gecesi;Roman;Türk Edebiyat?;Ketebe Yay?nlar?;Ömer Seyfettin;96;0;0;Türkçe;44531,4828
LOAN_000000000001429;Hürriyet Yolunda;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Ali ?smet Gencer;;0;0;Türkçe;45562,42642
LOAN_000000000001430;Hüseyin Fellah;Roman;Türk Edebiyat?;Can Yay?nlar?;Ahmet Mithat Efendi;;0;0;Türkçe;44901,49823
LOAN_000000000001431;Hüseyin Rahmi Gürp?nar;Roman;Türk Edebiyat?;Can Yay?nlar?;Arif Hikmet Par;;0;0;Türkçe;44524,57372
LOAN_000000000001432;Hüyükteki Nar A?ac?;Roman;Türk Edebiyat?;Can Yay?nlar?;Ya?ar Kemal;;0;0;Türkçe;44900,47417
LOAN_000000000001433;Hüzün Dürbünümde K?rk Sene;Roman;Türk Edebiyat?;Can Yay?nlar?;Ay?e Kulin;;0;0;Türkçe;45562,37909
LOAN_000000000001434;Hüzün Güllerinde Nisan;Roman;?iir;Can Yay?nlar?;Hülya Sönmez;;0;0;Türkçe;45562,36637
LOAN_000000000001435;Hüzün Ve Deh?et Tarihi;Roman;Tarih ve Co?rafya;Tedev Yay?nlar?;Gürbüz Azak;207;0;0;Türkçe;45363,85279
LOAN_000000000001436;Hüzün Ve Tesadüf;Roman;Türk Edebiyat?;Can Yay?nlar?;Mustafa Kutlu;90;0;0;Türkçe;45328,63545
LOAN_000000000001437;Hz Muhammet'?n Hayat?;Roman;Din ve Mitoloji;Can Yay?nlar?;Mustafa S?bai;;0;0;Türkçe;44900,54441
LOAN_000000000001438;Hz. Mevlana'N?n Mesnevisi'Nden Ö?ütler;Roman;Türk edebiyat?;Halk Kitapevi;Kahraman Yusufo?lu;282;0;0;Türkçe;44529,38497
LOAN_000000000001439;Hz. Muhammed ( Sav) Siyer-? Nebi;Roman;Din ve Mitoloji;Can Yay?nlar?;Dr. ?erafettin Kalay;;0;0;Türkçe;44529,43242
LOAN_000000000001440;Hz.Muhammed;Roman;Din ve Mitoloji;T.C ?stanbul Valili?i;Annemarie Schimmel;;0;0;Türkçe;45586,54691
LOAN_000000000001441;Hz.Muhammed ?çin Bülbülün K?rk ?ark?s?;Roman;Din ve Mitoloji;Kap? Yay?nlar?;?skender Pala;591;0;0;Türkçe;45562,41513
LOAN_000000000001442;Hz.Muhammedin Hayat?;Roman;Din ve Mitoloji;P?nar Yay?nlar?;Celaleddin Vatanda?;;0;0;Türkçe;44526,4647
LOAN_000000000001443;Hz.Muhammed'?n Hayat?(S.A.V.);Roman;Din ve Mitoloji;P?nar Yay?nlar?;Celalettin Vatanda?;474;0;0;Türkçe;44526,40363
LOAN_000000000001444;I?. Endülüs'E Geçit Vermeyen Bilge Adam;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Aliya ?zzetbegoviç;;0;0;Türkçe;45026,3815
LOAN_000000000001445;Ins;Roman;?iir;Öykü;Cahit Zarifo?lu;;0;0;Türkçe;44525,57137
LOAN_000000000001446;Irma??n Ötesi;Roman;?ngiliz Edebiyat?;Can Yay?nlar?;Ernest Hemingway;;0;0;Türkçe;44901,4973
LOAN_000000000001447;Iss?zl???n Ortas?;Roman;Türk Edebiyat?;?leti?im;Mehmet Ero?lu;;0;0;Türkçe;45562,54226
LOAN_000000000001448;I??k Her Zaman Bir Yolunu Bulur;Roman;Do?a Bilimleri ve Matematik;Günçe;P?nar Gogulan;;0;0;;44901,39388
LOAN_000000000001449;I??n Ça?? Çocuklar?;Roman;Türk Edebiyat?;Can Yay?nlar?;Gülten Day?o?lu;;0;0;Türkçe;45184,59573
LOAN_000000000001450;Iz?r Reis: Barbaros Hayreddin Pa?a;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Necmeddin ?ahiner;;0;0;Türkçe;44526,38013
LOAN_000000000001451;?bi?'?n Rüyas?;Roman;Türk Edebiyat?;Ötüken Yay?nevi;Tar?k Bu?ra;;0;0;Türkçe;45363,88101
LOAN_000000000001452;?bn Batuta Seyahatnamesinden Seçmeler;Roman;Tarih ve Co?rafya;Can Yay?nlar?;1000 Temel Eser;;0;0;Türkçe;45567,40066
LOAN_000000000001453;?bn Haldun Hayat? Eserleri Fikirleri;Roman;Tarih ve Co?rafya;T.C. ?stanbul Valili?i;Prof. Dr. Süleyman Uluda?;159;0;0;Türkçe;45184,51912
LOAN_000000000001454;?brahim Ethem;Roman;Türk Edebiyat?;T.C. ?stanbul Valili?i;Necip Faz?l K?sakürek;;0;0;Türkçe;44901,37567
LOAN_000000000001455;?brahimin Kaybetti?ini Bulmas?d?r;Roman;Din ve Mitoloji;Can Yay?nlar?;Güray Süngü;;0;0;Türkçe;44529,60517
LOAN_000000000001456;?brahim'?n Kaybetti?ini Bulmas?d?r;Roman;Türk Edebiyat?;Ketebe Yay?nlar?;Güray Süngü;346;0;0;Türkçe;44529,38203
LOAN_000000000001457;?ç Dünyamdan Notlar;Roman;Dünya Edebiyat?;Can Yay?nlar?;Paul Auster;;0;0;Türkçe;44900,47772
LOAN_000000000001458;?çimdeki ?stanbul Foto?raflar?;Roman;Sanat;Can Yay?nlar?;Mariolevi;;0;0;Türkçe;44900,49181
LOAN_000000000001459;?çimdeki ?ark?;Roman;Türk Edebiyat?;Can Yay?nlar?;Özge Ayd?n;;0;0;Türkçe;44525,51876
